Time,202-U-A2,202-U-B2,202-U-C2,202-U-D2,202-U-E2,202-U-F2,202-U-G2,301-U-A2,301-U-B2,301-U-C2,301-U-D2,301-U-E2,301-U-F2,301-U-G2,301-U-H2,302-U-A2,302-U-B2,302-U-C2,302-U-D2,302-U-E2,302-U-F2,302-U-G2,302-U-H2,304-U-A2,304-U-B2,304-U-C2,304-U-D2,304-U-E2,304-U-F2,304-U-G2,304-U-H2,305-U-A2,305-U-B2,305-U-C2,305-U-D2,305-U-E2,305-U-F2,305-U-G2,305-U-H2,307-U-A2,307-U-B2,307-U-C2,307-U-D2,307-U-E2,307-U-F2,307-U-G2,307-U-H2,207-U-A2,207-U-B2,207-U-C2,207-U-D2,207-U-E2,207-U-F2,207-U-G2,207-U-H2,208-U-A2,208-U-B2,208-U-C2,208-U-D2,208-U-E2,208-U-F2,208-U-G2,208-U-H2,209-U-A2,209-U-B2,209-U-C2,209-U-D2,209-U-E2,209-U-F2,209-U-G2,209-U-H2,214-U-A2,214-U-B2,214-U-C2,214-U-D2,214-U-E2,214-U-F2,214-U-G2
990,-6.4,-7.1,-8.2,-8.8,-8.8,-8.8,0.8,-3.4,-4.3,-5.5,-4.6,-4.2,-4.1,-4.1,-4.2,-4.0,-4.8,-5.5,-4.5,-4.8,-4.7,-4.7,-4.8,-5.1,-5.2,-5.4,-5.0,-4.6,-4.6,-4.9,-5.0,-2.6,-2.9,-3.2,-2.8,-2.7,-3.0,-2.4,-1.7,-2.6,-2.1,-3.0,-2.9,-3.4,-3.6,-3.4,-3.1,2.7,2.1,-0.6,-3.8,-6.4,-9.3,-9.8,-8.7,-0.2,-1.0,-1.8,-3.5,-5.3,-7.0,-7.1,-5.8,2.1,0.6,-2.1,-4.8,-8.2,-9.7,-10.1,-9.0,-2.9,-3.7,-4.3,-4.5,-4.6,-4.3,-4.0
1020,-6.1,-6.7,-7.9,-8.4,-8.5,-8.2,1.0,-3.5,-4.3,-5.1,-4.1,-3.8,-3.5,-3.9,-3.9,-4.1,-4.5,-5.4,-4.1,-4.1,-4.1,-4.5,-4.6,-5.0,-4.8,-5.5,-5.2,-4.8,-4.0,-4.4,-4.8,-2.7,-2.9,-3.2,-3.0,-2.7,-2.9,-2.1,-1.1,-2.7,-2.1,-2.9,-2.8,-3.1,-3.1,-2.9,-2.7,-0.7,-0.2,-2.4,-3.6,-4.9,-6.3,-6.1,-5.8,0.2,-0.7,-3.2,-4.3,-6.2,-7.3,-6.9,-5.6,2.3,1.1,-1.1,-4.4,-8.8,-10.2,-10.3,-9.2,-2.7,-3.4,-3.9,-4.0,-4.0,-3.9,-3.5
1050,-5.7,-6.3,-7.3,-7.8,-7.7,-7.2,0.0,-3.0,-3.8,-4.6,-4.0,-3.7,-3.4,-3.5,-3.6,-3.6,-4.3,-5.0,-4.1,-4.2,-4.0,-4.1,-4.2,-5.1,-4.7,-5.6,-4.7,-4.8,-4.0,-3.8,-3.9,-2.6,-3.2,-3.2,-2.7,-2.7,-2.4,-1.3,-0.3,-2.6,-1.3,-2.3,-2.6,-2.8,-2.8,-2.7,-2.6,-1.3,-1.5,-2.1,-2.7,-3.2,-3.7,-3.6,-3.2,-0.5,-0.6,-2.5,-3.5,-5.6,-6.0,-5.7,-4.8,1.2,0.0,-2.5,-5.3,-8.1,-9.0,-8.3,-7.1,-2.3,-3.0,-3.4,-3.6,-3.7,-3.6,-3.4
1080,-5.6,-6.1,-6.9,-7.3,-7.5,-6.5,0.2,-2.9,-3.7,-4.7,-4.0,-3.5,-3.2,-3.4,-3.4,-3.9,-4.4,-4.9,-4.1,-4.1,-3.9,-4.0,-3.9,-4.9,-4.6,-5.5,-4.9,-4.3,-4.1,-4.0,-4.0,-3.0,-3.2,-3.2,-2.9,-2.6,-2.0,-0.8,0.8,-3.0,-1.2,-2.1,-2.4,-2.7,-2.8,-2.6,-2.5,-1.3,-1.4,-2.0,-2.4,-2.9,-3.2,-3.1,-2.7,-0.3,-0.9,-3.0,-3.6,-5.0,-5.8,-5.7,-4.3,2.3,1.5,-1.7,-4.1,-7.0,-9.0,-9.2,-8.8,-2.4,-2.9,-3.5,-3.7,-3.7,-3.6,-3.3
1110,-5.4,-6.0,-6.6,-7.3,-7.0,-6.5,0.7,-3.2,-3.9,-4.8,-4.0,-3.5,-3.0,-3.1,-3.3,-3.9,-4.4,-5.0,-3.8,-3.8,-3.7,-4.0,-4.0,-5.0,-4.5,-5.3,-4.6,-4.6,-4.3,-4.0,-4.2,-2.6,-3.0,-3.3,-2.9,-2.5,-2.0,-0.9,0.8,-2.6,-1.1,-2.2,-2.4,-2.6,-2.6,-2.6,-2.5,-1.4,-1.6,-2.1,-2.1,-2.5,-2.8,-2.7,-2.5,-0.5,-1.2,-2.4,-3.2,-3.8,-4.4,-4.2,-3.5,0.9,0.4,-2.7,-4.4,-6.8,-9.2,-9.0,-8.5,-2.4,-3.0,-3.3,-3.5,-3.7,-3.8,-3.3
1140,-5.4,-6.0,-6.8,-7.2,-7.2,-7.1,0.4,-3.0,-3.8,-4.5,-3.9,-3.4,-3.0,-3.2,-3.3,-3.9,-4.4,-4.9,-3.7,-3.8,-3.7,-3.9,-4.1,-4.9,-4.6,-5.3,-4.5,-4.6,-4.0,-3.7,-3.8,-2.6,-3.1,-3.2,-2.8,-2.5,-1.8,-0.5,1.0,-2.6,-1.1,-2.2,-2.4,-2.5,-2.5,-2.5,-2.4,-1.4,-1.4,-2.0,-2.0,-2.3,-2.7,-2.6,-2.5,0.2,-0.6,-1.9,-3.0,-4.5,-5.2,-5.2,-4.4,0.9,-0.1,-2.4,-4.1,-5.7,-7.4,-6.3,-6.2,-2.4,-2.8,-3.0,-3.0,-3.3,-3.3,-3.2
1170,-5.4,-6.0,-6.7,-7.2,-7.1,-6.3,0.2,-3.4,-3.8,-4.4,-3.9,-3.4,-3.0,-3.2,-3.2,-3.8,-4.3,-4.9,-4.0,-3.9,-3.7,-3.9,-4.1,-4.8,-4.4,-5.2,-4.3,-4.2,-3.8,-3.5,-3.8,-2.6,-3.1,-3.2,-2.8,-2.5,-1.7,-0.5,1.1,-2.6,-1.0,-2.1,-2.4,-2.6,-2.6,-2.5,-2.4,-1.3,-1.4,-1.9,-2.0,-2.3,-2.6,-2.5,-2.4,-0.3,-1.4,-3.2,-3.7,-5.6,-5.6,-5.1,-4.1,0.6,0.2,-3.1,-4.1,-6.7,-7.8,-7.8,-6.8,-2.3,-3.0,-3.2,-3.4,-3.5,-3.5,-3.0
1200,-5.8,-6.4,-7.1,-7.5,-7.5,-7.2,0.8,-3.2,-3.8,-4.7,-4.2,-3.8,-3.3,-3.5,-3.5,-4.1,-4.6,-5.2,-4.3,-4.3,-3.8,-4.1,-4.1,-5.0,-4.4,-5.5,-4.8,-4.6,-3.2,-3.3,-3.9,-2.8,-3.2,-3.4,-3.0,-2.6,-2.0,-0.9,0.5,-2.8,-1.2,-2.1,-2.7,-2.8,-2.7,-2.7,-2.6,1.2,0.5,-1.5,-3.0,-4.8,-6.8,-6.2,-6.2,-0.2,-1.0,-3.0,-3.7,-5.9,-5.9,-5.4,-4.8,1.6,1.0,-2.5,-5.0,-8.6,-10.0,-9.5,-8.5,-2.6,-3.3,-3.7,-3.9,-4.0,-4.0,-3.6
1230,-6.4,-7.1,-8.1,-8.5,-8.7,-8.5,0.4,-3.4,-4.5,-5.5,-4.6,-3.9,-3.6,-3.8,-3.8,-4.3,-4.9,-5.4,-4.3,-4.3,-4.4,-4.7,-4.6,-5.4,-5.2,-6.5,-5.6,-5.4,-4.8,-4.4,-4.6,-2.7,-3.2,-3.6,-3.2,-2.9,-2.6,-1.8,-1.2,-2.7,-1.9,-2.8,-2.7,-3.1,-3.1,-2.9,-2.7,2.5,1.1,-1.0,-3.4,-6.3,-8.9,-9.1,-8.2,-1.0,-1.3,-3.1,-4.0,-6.0,-6.8,-5.9,-5.2,1.3,0.5,-2.2,-4.2,-8.1,-10.0,-10.1,-8.8,-2.9,-3.7,-4.1,-4.3,-4.3,-4.1,-3.8
1260,-6.4,-7.1,-8.0,-8.6,-8.8,-9.1,0.4,-3.8,-5.0,-5.9,-4.6,-4.3,-4.1,-4.2,-4.2,-3.9,-4.8,-5.5,-4.9,-5.0,-4.5,-4.6,-4.5,-6.3,-5.9,-6.5,-5.3,-5.2,-4.7,-4.1,-4.1,-2.7,-3.1,-3.2,-3.0,-2.9,-2.9,-2.2,-1.4,-2.7,-2.2,-3.1,-3.0,-3.4,-3.2,-3.3,-3.1,1.8,1.1,-1.7,-4.0,-7.0,-9.2,-9.6,-8.8,-0.4,-1.7,-3.2,-4.7,-6.5,-7.0,-5.8,-4.9,0.7,0.1,-2.6,-4.9,-8.6,-10.6,-10.9,-9.7,-2.9,-3.8,-4.3,-4.6,-4.5,-4.4,-4.1
1290,-6.7,-7.3,-8.3,-9.0,-9.1,-9.0,0.6,-3.9,-4.7,-5.6,-4.5,-4.3,-4.1,-4.2,-4.2,-4.2,-5.0,-5.7,-4.7,-4.7,-4.6,-4.5,-4.6,-6.1,-5.4,-6.4,-5.8,-5.4,-4.8,-4.0,-4.3,-2.8,-2.9,-3.1,-2.9,-2.8,-3.0,-2.5,-1.9,-2.8,-1.8,-3.0,-3.1,-3.2,-3.1,-3.0,-2.8,2.3,1.5,-1.5,-4.2,-6.8,-9.2,-9.5,-8.7,0.5,-0.6,-2.7,-4.5,-6.2,-7.1,-6.1,-5.3,1.5,1.2,-1.7,-5.0,-7.4,-10.7,-10.5,-9.3,-2.8,-3.6,-4.1,-4.2,-4.3,-4.2,-3.8
1320,-6.7,-7.4,-8.4,-9.0,-9.1,-8.3,0.1,-3.7,-4.6,-5.6,-4.7,-4.1,-4.0,-4.2,-4.2,-4.1,-4.8,-5.7,-4.7,-4.6,-4.7,-4.7,-4.7,-5.8,-5.3,-6.1,-5.7,-5.5,-4.8,-4.4,-4.3,-2.6,-3.0,-3.1,-3.0,-2.8,-2.9,-2.5,-1.7,-2.6,-1.9,-3.2,-3.0,-3.0,-3.2,-3.0,-2.6,1.5,0.3,-2.0,-4.8,-6.9,-9.1,-9.1,-8.5,0.3,-0.1,-2.0,-3.3,-6.0,-7.7,-7.7,-5.8,1.4,0.5,-1.7,-4.0,-7.6,-10.2,-10.4,-9.2,-2.9,-3.6,-4.1,-4.4,-4.5,-4.4,-3.9
1350,-6.7,-7.3,-8.2,-8.9,-8.8,-8.1,2.1,-3.6,-4.6,-5.6,-4.5,-4.3,-4.0,-4.1,-4.2,-4.0,-4.7,-5.5,-4.6,-4.8,-4.7,-4.6,-4.8,-6.0,-5.3,-6.2,-5.4,-4.6,-4.5,-4.5,-4.3,-2.6,-3.0,-3.2,-2.9,-2.8,-3.0,-2.5,-1.8,-2.6,-1.7,-2.7,-2.9,-3.1,-3.2,-3.2,-3.1,1.7,1.6,-0.9,-3.3,-6.7,-9.8,-9.7,-8.5,0.8,0.1,-1.1,-2.5,-5.5,-7.1,-7.0,-5.9,1.1,0.4,-1.8,-3.7,-7.7,-10.9,-10.6,-8.5,-2.9,-3.7,-4.1,-4.2,-4.4,-4.2,-3.8
1379,-6.8,-7.2,-8.4,-9.2,-9.2,-8.6,1.1,-3.7,-4.5,-5.4,-4.5,-4.3,-4.0,-4.1,-4.1,-4.0,-4.9,-5.5,-4.7,-4.7,-4.6,-4.7,-4.6,-5.9,-5.2,-6.3,-5.1,-4.9,-4.7,-4.1,-4.5,-2.5,-2.9,-3.1,-2.9,-2.8,-2.9,-2.5,-1.9,-2.5,-1.8,-2.9,-2.9,-3.1,-3.2,-3.3,-2.9,1.6,0.5,-1.3,-4.0,-7.0,-9.3,-10.0,-8.8,-0.1,-0.9,-3.2,-4.0,-6.2,-8.0,-7.3,-6.0,1.3,-0.8,-1.9,-4.0,-8.7,-9.6,-10.1,-10.0,-2.8,-3.6,-4.1,-4.1,-4.3,-4.1,-3.8
1409,-6.6,-7.3,-8.4,-8.9,-9.1,-9.0,0.6,-3.7,-4.7,-5.8,-4.7,-4.3,-4.1,-4.3,-4.2,-4.1,-4.9,-5.8,-4.9,-5.0,-4.7,-4.6,-4.7,-6.0,-5.1,-6.9,-5.8,-5.6,-4.8,-4.3,-4.4,-2.6,-2.9,-3.2,-3.0,-2.8,-3.0,-2.7,-2.1,-2.6,-2.6,-3.2,-3.2,-3.5,-3.4,-3.2,-2.9,2.1,0.9,-1.3,-4.2,-6.7,-9.5,-9.9,-8.3,0.0,-0.5,-2.2,-3.8,-6.3,-7.7,-7.2,-5.8,1.3,0.1,-2.5,-4.7,-8.0,-10.6,-10.7,-9.2,-2.9,-3.5,-4.1,-4.2,-4.2,-4.3,-3.8
1440,-6.8,-7.5,-8.5,-9.2,-9.3,-9.0,1.1,-3.8,-4.8,-5.7,-4.7,-4.4,-4.1,-4.2,-4.2,-4.1,-4.8,-5.8,-4.7,-4.8,-4.7,-4.7,-4.6,-5.7,-5.2,-6.2,-5.4,-5.4,-4.8,-4.2,-4.4,-2.7,-3.1,-3.2,-2.9,-2.8,-3.0,-2.6,-2.0,-2.7,-1.9,-2.7,-2.7,-3.3,-3.4,-3.3,-3.0,2.3,2.1,-0.2,-3.5,-6.4,-9.2,-9.5,-8.3,-0.8,-1.2,-2.5,-3.9,-6.0,-6.8,-6.3,-5.4,1.2,0.2,-2.7,-5.3,-8.8,-10.5,-10.5,-8.8,-2.8,-3.6,-4.0,-3.9,-4.2,-4.3,-4.2
1470,-6.9,-7.6,-8.8,-9.3,-9.5,-9.3,1.2,-3.9,-4.8,-5.6,-4.7,-4.1,-3.9,-4.1,-4.0,-4.1,-4.8,-5.9,-5.0,-4.7,-4.9,-4.8,-5.2,-6.3,-5.6,-7.4,-5.3,-4.5,-4.3,-4.1,-3.7,-2.8,-3.1,-3.2,-3.0,-2.9,-3.3,-2.9,-2.3,-2.8,-2.4,-3.2,-2.9,-3.2,-3.2,-3.4,-3.2,1.8,0.7,-1.8,-5.0,-7.3,-9.8,-9.3,-8.5,-0.2,-0.2,-1.8,-2.6,-5.0,-7.4,-7.5,-6.3,1.1,0.3,-3.6,-5.2,-8.1,-11.0,-10.4,-9.5,-3.1,-3.7,-4.2,-4.4,-4.5,-4.3,-3.9
1500,-7.5,-8.2,-9.7,-10.3,-10.6,-10.3,1.4,-5.0,-6.2,-6.5,-5.3,-5.2,-5.0,-5.0,-4.9,-4.2,-5.5,-6.2,-5.5,-5.6,-5.4,-5.2,-5.3,-6.1,-6.0,-7.2,-6.1,-5.6,-4.7,-4.7,-5.0,-2.9,-3.1,-3.7,-3.4,-3.4,-3.6,-3.3,-3.0,-2.9,-2.5,-3.7,-3.5,-3.8,-3.9,-4.0,-3.6,1.6,0.7,-2.1,-4.6,-6.7,-9.3,-10.0,-8.5,-0.2,-0.8,-2.8,-4.5,-6.7,-8.1,-8.0,-6.1,1.5,0.6,-1.4,-4.7,-9.0,-10.8,-11.0,-10.5,-3.5,-4.3,-4.8,-5.1,-5.2,-4.9,-4.6
1530,-8.2,-9.0,-11.0,-11.7,-11.9,-11.5,0.5,-5.1,-6.0,-7.0,-6.0,-5.7,-5.4,-5.3,-5.1,-5.2,-6.1,-6.8,-6.1,-6.2,-5.8,-5.7,-5.3,-6.7,-5.9,-6.9,-6.1,-6.0,-5.6,-5.2,-4.9,-3.1,-3.6,-4.2,-3.9,-3.8,-4.0,-3.7,-3.3,-3.1,-2.7,-4.3,-3.9,-4.4,-4.4,-4.4,-3.9,0.3,-1.1,-4.3,-5.8,-8.4,-10.4,-10.1,-9.1,-0.5,-1.6,-3.6,-4.3,-6.4,-8.1,-8.2,-6.3,-3.2,-4.9,-5.4,-5.7,-8.1,-8.5,-7.7,-6.8,-4.1,-5.0,-5.6,-5.9,-5.8,-5.5,-5.4
1560,-8.2,-9.0,-12.4,-13.1,-13.4,-13.2,1.7,-5.6,-6.7,-7.4,-6.3,-6.4,-6.2,-6.1,-5.9,-6.0,-6.8,-7.8,-6.9,-6.8,-6.3,-6.0,-5.6,-7.1,-6.5,-7.5,-6.4,-6.5,-5.8,-5.1,-5.2,-3.6,-4.3,-4.6,-4.6,-4.5,-4.9,-4.4,-4.2,-3.6,-2.4,-4.0,-4.8,-5.3,-5.3,-5.3,-5.0,1.1,-0.6,-4.2,-5.2,-7.3,-9.9,-10.2,-9.6,-0.7,-1.1,-3.8,-5.1,-7.1,-8.3,-7.8,-5.6,-1.8,-3.4,-5.7,-6.9,-9.3,-10.4,-11.1,-9.6,-4.3,-5.4,-6.5,-6.7,-6.9,-6.4,-5.7
1590,-8.2,-9.0,-12.8,-13.3,-14.1,-14.0,3.2,-5.4,-6.7,-7.3,-6.6,-6.5,-6.5,-6.3,-5.9,-6.2,-6.8,-7.9,-7.0,-7.0,-6.4,-6.0,-5.7,-6.8,-6.5,-7.4,-6.6,-6.6,-6.1,-5.7,-5.6,-3.9,-4.4,-4.9,-4.5,-4.4,-4.7,-4.4,-4.2,-3.9,-2.4,-4.6,-4.8,-5.2,-5.3,-5.1,-4.8,0.9,-0.6,-4.0,-5.6,-7.1,-9.5,-10.6,-9.9,-0.2,-2.0,-4.3,-5.7,-7.2,-8.3,-7.4,-5.8,-2.9,-4.0,-5.3,-7.5,-9.0,-10.6,-10.7,-9.5,-4.6,-5.4,-6.6,-6.9,-6.6,-6.6,-6.1
1620,-7.7,-8.5,-10.0,-10.1,-10.8,-10.7,-7.5,-5.8,-6.8,-7.9,-7.2,-6.5,-6.5,-6.5,-6.0,-6.4,-7.2,-8.8,-7.3,-7.1,-6.5,-6.1,-5.8,-7.4,-6.5,-8.0,-6.7,-6.8,-6.1,-5.6,-5.5,-4.4,-4.5,-5.0,-4.6,-4.6,-4.8,-4.6,-4.2,-4.4,-2.9,-5.1,-4.9,-5.4,-5.5,-5.4,-5.0,-0.3,-1.2,-3.5,-4.9,-6.9,-9.8,-11.0,-10.3,-0.7,-2.1,-4.2,-5.2,-7.4,-8.8,-8.4,-6.0,-1.8,-3.8,-5.8,-7.9,-9.6,-11.3,-11.4,-9.9,-4.6,-5.4,-7.4,-7.4,-7.1,-6.9,-6.4
1650,-7.3,-8.1,-9.2,-9.7,-10.0,-10.0,-8.4,-5.7,-6.7,-7.9,-7.0,-6.7,-6.6,-6.6,-6.1,-6.5,-7.0,-8.4,-7.2,-7.1,-6.4,-6.1,-5.7,-7.6,-6.7,-7.6,-6.5,-6.6,-6.1,-5.9,-5.6,-4.4,-4.8,-5.2,-4.6,-4.6,-4.9,-4.6,-4.4,-4.4,-2.9,-4.9,-5.0,-5.6,-5.4,-5.5,-5.1,-0.2,-2.0,-4.7,-5.3,-7.3,-10.3,-11.0,-9.9,-1.3,-2.6,-4.1,-5.1,-7.3,-9.3,-8.9,-6.5,-1.4,-4.3,-6.1,-7.6,-9.2,-10.8,-11.0,-10.1,-4.7,-5.4,-7.2,-7.6,-8.0,-7.5,-6.5
1680,-6.5,-7.4,-8.3,-8.4,-8.4,-8.3,-8.5,-5.7,-6.7,-7.7,-6.6,-6.5,-6.2,-5.8,-5.4,-5.7,-6.7,-7.5,-6.6,-6.4,-5.8,-5.2,-4.8,-6.9,-6.3,-7.1,-6.0,-5.9,-5.4,-5.1,-4.9,-4.8,-5.0,-5.3,-4.8,-4.7,-4.9,-4.6,-4.4,-4.8,-3.3,-5.4,-5.1,-5.7,-5.4,-5.5,-5.0,0.0,-1.7,-4.6,-6.7,-8.3,-10.7,-11.2,-10.2,-0.3,-1.2,-4.7,-5.0,-7.4,-10.0,-9.5,-6.6,-1.7,-4.6,-5.3,-6.3,-11.2,-13.3,-12.5,-11.1,-4.7,-5.4,-8.5,-8.4,-8.4,-8.4,-7.6
1710,-6.9,-7.8,-8.6,-8.3,-8.0,-7.5,-8.0,-5.9,-6.8,-7.6,-6.5,-6.1,-5.8,-5.4,-5.0,-6.1,-6.6,-7.3,-6.3,-6.2,-5.5,-5.4,-4.6,-7.1,-6.6,-6.6,-5.5,-5.5,-5.1,-4.7,-4.6,-4.8,-5.1,-5.5,-4.8,-4.5,-4.9,-4.6,-4.4,-4.8,-3.4,-5.5,-4.5,-5.8,-5.4,-5.7,-5.3,-1.6,-3.1,-5.0,-7.0,-8.8,-11.4,-11.2,-10.3,-1.0,-1.8,-4.3,-6.2,-8.2,-10.2,-10.0,-6.6,-1.3,-4.0,-5.7,-8.2,-10.8,-12.1,-12.8,-11.6,-4.7,-5.4,-8.3,-8.4,-8.1,-7.7,-7.6
1740,-6.7,-7.4,-8.0,-7.8,-7.6,-7.2,-7.6,-6.1,-6.7,-7.0,-6.1,-5.5,-5.3,-4.5,-4.3,-6.0,-6.7,-7.0,-5.5,-4.8,-4.1,-3.6,-3.9,-5.9,-6.5,-6.2,-5.2,-5.2,-4.8,-4.6,-4.4,-4.9,-5.1,-5.4,-4.8,-4.5,-4.9,-4.1,-4.4,-4.9,-3.5,-5.8,-5.2,-5.8,-5.7,-5.6,-5.2,-0.5,-2.0,-4.7,-7.1,-8.9,-11.1,-11.6,-10.4,-0.4,-1.9,-4.4,-5.5,-9.1,-11.1,-10.4,-6.7,-2.2,-3.3,-5.9,-8.2,-10.0,-11.6,-13.2,-11.7,-4.7,-5.4,-8.6,-8.9,-8.8,-8.6,-7.8
1770,-6.8,-7.4,-8.2,-8.0,-7.5,-7.0,-7.3,-5.9,-6.2,-6.8,-5.5,-5.2,-5.0,-4.8,-4.6,-6.0,-6.2,-6.7,-5.4,-4.9,-4.4,-4.2,-4.0,-6.1,-6.0,-6.2,-5.2,-5.1,-4.8,-4.6,-4.4,-5.0,-5.2,-5.4,-4.8,-4.5,-4.9,-4.6,-4.4,-5.0,-3.1,-5.6,-5.1,-5.6,-5.7,-5.6,-5.4,-0.9,-2.7,-4.7,-7.1,-9.4,-11.2,-12.0,-10.6,-0.5,-1.4,-4.6,-5.5,-8.5,-11.0,-11.0,-6.4,-1.8,-4.1,-5.5,-7.6,-10.7,-13.0,-12.9,-10.8,-4.7,-5.4,-8.9,-9.1,-9.4,-9.2,-8.4
1800,-6.6,-7.3,-7.9,-7.9,-7.6,-7.1,-7.4,-6.1,-6.5,-7.0,-5.5,-5.2,-5.1,-4.8,-4.5,-6.2,-6.2,-6.6,-5.3,-4.8,-4.2,-4.1,-4.3,-5.3,-5.9,-5.9,-5.2,-5.1,-4.8,-4.6,-4.3,-4.6,-5.1,-5.4,-4.8,-4.5,-4.9,-4.6,-4.4,-4.6,-3.0,-5.5,-5.1,-5.4,-5.7,-5.6,-5.4,-1.4,-2.8,-4.1,-7.1,-9.5,-11.6,-11.5,-10.5,-0.1,-1.0,-4.2,-5.6,-8.9,-10.7,-10.8,-6.6,-1.5,-4.3,-5.4,-6.8,-10.3,-13.3,-13.7,-12.5,-4.7,-5.4,-9.0,-9.6,-9.7,-9.4,-8.5
1830,-6.6,-7.5,-8.1,-8.0,-7.8,-7.1,-7.3,-5.9,-6.1,-7.1,-5.8,-5.6,-5.2,-4.8,-4.4,-6.0,-6.2,-6.9,-5.7,-5.2,-4.6,-4.3,-4.4,-5.7,-5.8,-5.7,-5.2,-5.1,-4.6,-4.6,-4.3,-4.7,-5.0,-5.5,-4.8,-4.5,-4.9,-4.6,-4.4,-4.7,-3.5,-5.6,-4.9,-5.8,-5.7,-5.6,-5.4,-1.1,-1.9,-4.1,-6.7,-8.6,-11.6,-12.2,-10.3,-1.4,-2.4,-5.0,-5.7,-8.3,-10.5,-10.4,-7.0,-2.8,-3.8,-5.6,-7.4,-10.5,-13.1,-13.1,-11.1,-4.7,-5.4,-8.4,-9.1,-9.2,-8.8,-7.9
1860,-6.5,-7.2,-8.0,-7.7,-7.7,-7.2,-7.3,-5.8,-6.5,-6.9,-5.8,-5.4,-5.1,-4.7,-4.5,-6.0,-6.2,-6.8,-5.5,-5.4,-4.6,-4.1,-4.3,-5.5,-5.7,-5.7,-5.2,-5.1,-4.6,-4.6,-4.3,-5.0,-5.0,-5.5,-4.9,-4.7,-4.9,-4.6,-4.4,-5.0,-3.9,-5.8,-5.1,-5.7,-5.7,-5.6,-5.3,-1.6,-2.6,-4.3,-6.9,-9.9,-12.0,-11.8,-10.3,-1.1,-2.4,-5.1,-6.3,-9.0,-11.0,-10.3,-6.2,-2.1,-3.8,-6.1,-7.7,-10.7,-12.1,-11.9,-10.7,-4.7,-5.4,-8.4,-8.6,-8.7,-8.2,-7.4
1890,-6.6,-7.3,-8.1,-7.7,-7.7,-7.1,-7.4,-6.0,-6.5,-7.0,-5.7,-5.2,-4.8,-4.5,-4.3,-5.9,-6.2,-6.8,-5.4,-5.2,-4.7,-3.9,-3.9,-5.4,-5.7,-6.0,-5.0,-5.1,-4.6,-4.6,-4.3,-4.7,-4.9,-5.4,-4.6,-4.7,-4.9,-4.6,-4.4,-4.7,-3.3,-5.8,-5.2,-5.7,-5.7,-5.6,-5.3,-1.1,-1.8,-4.8,-6.6,-9.4,-11.6,-11.9,-10.4,-0.4,-2.3,-4.5,-5.4,-8.4,-10.7,-10.9,-6.7,-2.9,-4.6,-6.1,-7.8,-12.0,-13.6,-13.1,-12.0,-4.7,-5.4,-8.6,-9.0,-8.9,-8.4,-7.8
1920,-6.7,-7.2,-8.3,-7.8,-7.6,-7.0,-7.1,-5.9,-6.4,-7.1,-5.8,-5.2,-4.8,-4.5,-4.2,-5.8,-6.0,-6.8,-5.5,-5.3,-4.6,-4.3,-4.0,-5.5,-5.5,-5.9,-5.0,-5.1,-4.6,-4.6,-4.3,-5.0,-5.2,-5.5,-4.6,-4.7,-4.9,-4.6,-4.4,-5.0,-3.8,-6.0,-5.1,-5.7,-5.7,-5.6,-5.3,-1.1,-2.6,-4.3,-6.3,-8.9,-11.9,-12.2,-10.6,-1.1,-1.8,-5.1,-6.3,-8.3,-10.9,-9.9,-6.7,-1.8,-3.6,-6.0,-7.6,-11.4,-13.4,-12.9,-11.5,-4.7,-5.4,-8.6,-9.1,-9.0,-8.9,-7.7
1950,-6.7,-7.3,-8.1,-7.7,-7.7,-7.0,-7.2,-5.8,-6.5,-7.0,-5.8,-5.3,-4.9,-4.4,-4.0,-5.5,-6.1,-6.6,-5.6,-5.3,-4.5,-4.1,-3.9,-5.0,-5.8,-5.9,-5.0,-5.1,-4.6,-4.6,-4.3,-4.6,-5.0,-5.5,-4.9,-4.7,-4.9,-4.6,-4.4,-4.6,-3.6,-6.0,-5.3,-5.7,-5.6,-5.6,-5.3,-1.7,-2.9,-4.2,-6.1,-9.0,-11.6,-11.6,-10.4,-0.8,-1.5,-4.6,-6.2,-9.1,-11.1,-11.0,-6.8,-1.8,-4.4,-6.5,-7.9,-9.9,-12.5,-12.4,-11.7,-4.7,-5.4,-8.8,-9.2,-8.9,-8.5,-7.8
1980,-6.7,-7.3,-8.1,-7.7,-7.6,-7.1,-7.2,-5.8,-6.5,-7.0,-6.1,-5.2,-4.9,-4.5,-4.2,-5.7,-5.9,-6.8,-5.6,-5.1,-4.6,-4.1,-4.2,-5.5,-5.2,-5.9,-5.0,-5.1,-4.6,-4.6,-4.3,-4.7,-5.1,-5.6,-4.9,-4.7,-4.9,-4.6,-4.4,-4.7,-3.9,-5.8,-4.9,-5.9,-5.6,-5.6,-5.3,-1.1,-2.9,-4.4,-6.3,-8.9,-11.7,-11.9,-10.0,-0.5,-1.0,-3.5,-5.6,-8.3,-10.9,-10.9,-6.8,-2.0,-3.8,-5.5,-7.8,-10.6,-13.4,-12.8,-11.2,-4.7,-5.4,-8.7,-8.9,-8.9,-8.4,-7.6
