H2, mass spectrometer


Lateral Position      H=7                         H=9                         H=11
1.8                        1.970E-0002            2.486E-0002            2.801E-0002
2.0                        2.103E-0002            2.559E-0002            3.066E-0002
2.2                        2.239E-0002            2.698E-0002            3.120E-0002
2.4                        2.344E-0002            2.840E-0002            3.259E-0002
2.6                        2.529E-0002            2.925E-0002            3.374E-0002
2.8                        2.587E-0002            3.050E-0002            3.403E-0002
3.0                        2.730E-0002            3.146E-0002            3.509E-0002
3.2                        2.813E-0002            3.292E-0002            3.609E-0002
3.4                        2.890E-0002            3.385E-0002            3.722E-0002
3.6                        2.965E-0002            3.424E-0002            3.762E-0002
3.8                        3.007E-0002            3.443E-0002            3.807E-0002
4.0                        3.079E-0002            3.412E-0002            3.766E-0002
4.2                        3.058E-0002            3.451E-0002            3.879E-0002
4.4                        3.068E-0002            3.453E-0002            3.792E-0002
4.6                        3.003E-0002            3.424E-0002            3.730E-0002
4.8                        3.012E-0002            3.331E-0002            3.691E-0002
5.0                        2.994E-0002            3.233E-0002            3.693E-0002
5.2                        2.908E-0002            3.120E-0002            3.461E-0002
5.4                        2.844E-0002            3.021E-0002            3.300E-0002
5.6                        2.523E-0002            2.834E-0002            3.011E-0002
5.8                        2.201E-0002            2.638E-0002            2.602E-0002
6.0                        1.698E-0002            1.882E-0002            2.390E-0002
6.2                        1.138E-0002            1.197E-0002            1.973E-0002
6.4                        6.639E-0003            9.452E-0003            1.211E-0002
6.6                        3.661E-0003            5.010E-0003            8.704E-0003
6.8                        2.251E-0003            3.408E-0003            5.277E-0003
7.0                        1.586E-0003            2.411E-0003            3.461E-0003
7.2                        9.006E-0004            1.594E-0003            1.927E-0003
7.4                        4.404E-0004            9.122E-0004            1.299E-0003
7.6                        3.221E-0004            6.320E-0004            6.442E-0004
7.8                        2.120E-0004            5.354E-0004            4.636E-0004
8.0                        1.468E-0004            2.832E-0004            4.052E-0004
8.2                        1.362E-0004            2.078E-0004            2.901E-0004
8.4                        1.312E-0004            2.103E-0004            1.936E-0004
8.6                        8.087E-0005            1.820E-0004            2.198E-0004
8.8                        1.059E-0004            1.746E-0004            1.861E-0004
9.0                        9.512E-0005            1.780E-0004            1.561E-0004
9.2                        9.100E-0005            1.732E-0004            1.608E-0004
9.4                        6.395E-0005            1.391E-0004            1.497E-0004
9.6                        6.349E-0005            1.196E-0004            1.207E-0004
9.8                        7.225E-0005            8.152E-0005            1.123E-0004
10.0                        6.534E-0005            1.174E-0004            1.137E-0004
