CO2, mass spectrometer

Lateral Position      H=7 mm                 H=9 mm                      H=11mm
-10.0                        1.484E-0003            3.011E-0003            5.854E-0003
-9.8                        1.682E-0003            2.978E-0003            6.617E-0003
-9.6                        2.161E-0003            4.734E-0003            9.316E-0003
-9.4                        3.079E-0003            5.522E-0003            1.159E-0002
-9.2                        3.923E-0003            7.267E-0003            1.347E-0002
-9.0                        5.334E-0003            8.599E-0003            1.581E-0002
-8.8                        7.325E-0003            1.158E-0002            1.903E-0002
-8.6                        1.108E-0002            1.618E-0002            2.403E-0002
-8.4                        1.327E-0002            1.998E-0002            2.959E-0002
-8.2                        1.486E-0002            2.423E-0002            3.353E-0002
-8.0                        1.990E-0002            2.728E-0002            3.936E-0002
-7.8                        2.650E-0002            3.566E-0002            4.401E-0002
-7.6                        2.907E-0002            3.986E-0002            4.985E-0002
-7.4                        3.323E-0002            4.380E-0002            5.909E-0002
-7.2                        4.111E-0002            5.051E-0002            6.436E-0002
-7.0                        4.962E-0002            5.835E-0002            6.899E-0002
-6.8                        5.853E-0002            6.616E-0002            7.125E-0002
-6.6                        6.561E-0002            7.381E-0002            7.551E-0002
-6.4                        7.263E-0002            7.612E-0002            7.815E-0002
-6.2                        7.641E-0002            8.054E-0002            7.401E-0002
-6.0                        7.864E-0002            8.259E-0002            7.758E-0002
-5.8                        8.028E-0002            8.298E-0002            7.473E-0002
-5.6                        7.765E-0002            8.032E-0002            7.242E-0002
-5.4                        7.613E-0002            7.784E-0002            6.949E-0002
-5.2                        7.247E-0002            7.582E-0002            6.737E-0002
-5.0                        6.956E-0002            7.131E-0002            6.594E-0002
-4.8                        6.638E-0002            6.893E-0002            6.339E-0002
-4.6                        6.388E-0002            6.672E-0002            6.092E-0002
-4.4                        6.038E-0002            6.351E-0002            5.896E-0002
-4.2                        5.753E-0002            6.043E-0002            5.618E-0002
-4.0                        5.452E-0002            5.729E-0002            5.337E-0002
-3.8                        5.074E-0002            5.546E-0002            5.156E-0002
-3.6                        4.690E-0002            5.296E-0002            4.903E-0002
-3.4                        4.361E-0002            5.011E-0002            4.462E-0002
-3.2                        4.199E-0002            4.760E-0002            4.200E-0002
-3.0                        3.775E-0002            4.309E-0002            3.835E-0002
-2.8                        3.446E-0002            4.052E-0002            3.663E-0002
-2.6                        3.165E-0002            3.651E-0002            3.405E-0002
-2.4                        2.803E-0002            3.406E-0002            3.108E-0002
-2.2                        2.525E-0002            3.115E-0002            2.926E-0002
-2.0                        2.121E-0002            2.674E-0002            2.697E-0002
-1.8                        1.743E-0002            2.445E-0002            2.345E-0002
-1.6                        1.504E-0002            2.122E-0002            2.127E-0002
-1.4                        1.365E-0002            1.913E-0002            2.011E-0002
-1.2                        1.069E-0002            1.649E-0002            1.723E-0002
-1.0                        9.120E-0003            1.418E-0002            1.468E-0002
-0.8                        7.389E-0003            1.208E-0002            1.229E-0002
-0.6                        5.670E-0003            1.013E-0002            1.131E-0002
-0.4                        4.485E-0003            9.293E-0003            1.023E-0002
-0.2                        4.127E-0003            8.321E-0003            9.648E-0003
0.0                        4.208E-0003            8.049E-0003            9.364E-0003
0.2                        4.127E-0003            8.321E-0003            9.648E-0003
0.4                        4.485E-0003            9.293E-0003            1.023E-0002
0.6                        5.670E-0003            1.013E-0002            1.131E-0002
0.8                        7.389E-0003            1.208E-0002            1.229E-0002
1.0                        9.120E-0003            1.418E-0002            1.468E-0002
1.2                        1.069E-0002            1.649E-0002            1.723E-0002
1.4                        1.365E-0002            1.913E-0002            2.011E-0002
1.6                        1.504E-0002            2.122E-0002            2.127E-0002
1.8                        1.743E-0002            2.445E-0002            2.345E-0002
2.0                        2.121E-0002            2.674E-0002            2.697E-0002
2.2                        2.525E-0002            3.115E-0002            2.926E-0002
2.4                        2.803E-0002            3.406E-0002            3.108E-0002
2.6                        3.165E-0002            3.651E-0002            3.405E-0002
