Horizontal velocity, calculated from continuity (Norton et al., 1993)


Lateral Position              H=7                                H=9                                 H=11
 4.00000E-0001              -7.58000E-0001             -8.73000E-0001             -9.80000E-0001
 6.00000E-0001              -1.10900E+0000             -1.27400E+0000             -1.39500E+0000
 8.00000E-0001              -1.43400E+0000             -1.72100E+0000             -2.17900E+0000
 1.00000E+0000             -1.87600E+0000             -2.15000E+0000             -2.54500E+0000
 1.20000E+0000             -2.25400E+0000             -2.62300E+0000             -3.19700E+0000
 1.40000E+0000             -2.73900E+0000             -3.16000E+0000             -3.80700E+0000
 1.60000E+0000             -3.19500E+0000             -3.67200E+0000             -4.42600E+0000
 1.80000E+0000             -3.84200E+0000             -4.36800E+0000             -5.16300E+0000
 2.00000E+0000             -4.47300E+0000             -5.16100E+0000             -6.29200E+0000
 2.20000E+0000             -5.07600E+0000             -5.96700E+0000             -7.03600E+0000
 2.40000E+0000             -5.57400E+0000             -6.73300E+0000             -8.24300E+0000
 2.60000E+0000             -6.30000E+0000             -7.58900E+0000             -8.92100E+0000
 2.80000E+0000             -6.77400E+0000             -8.37300E+0000             -1.04280E+0001
 3.00000E+0000             -7.86800E+0000             -9.22300E+0000             -1.07350E+0001
 3.20000E+0000             -8.46400E+0000             -9.99600E+0000             -1.22520E+0001
 3.40000E+0000             -9.83700E+0000             -1.09280E+0001             -1.21300E+0001
 3.60000E+0000             -1.05180E+0001             -1.18690E+0001             -1.36360E+0001
 3.80000E+0000             -1.19920E+0001             -1.29940E+0001             -1.41370E+0001
 4.00000E+0000             -1.26860E+0001             -1.38830E+0001             -1.56440E+0001
 4.20000E+0000             -1.43360E+0001             -1.50150E+0001             -1.59220E+0001
 4.40000E+0000             -1.47400E+0001             -1.57780E+0001             -1.75950E+0001
 4.60000E+0000             -1.64550E+0001             -1.68670E+0001             -1.75220E+0001
 4.80000E+0000             -1.68740E+0001             -1.77450E+0001             -1.93260E+0001
 5.00000E+0000                -1.87530E+0001             -1.89470E+0001             -1.95030E+0001
 5.20000E+0000                -1.91000E+0001             -1.98670E+0001             -2.13450E+0001
 5.40000E+0000                -2.09220E+0001             -2.10570E+0001             -2.12900E+0001
 5.60000E+0000                -2.14130E+0001             -2.22770E+0001             -2.31660E+0001
 5.80000E+0000                -2.33830E+0001             -2.35260E+0001             -2.34830E+0001
 6.00000E+0000                -2.44000E+0001             -2.46060E+0001             -2.59290E+0001
 6.20000E+0000                -2.65740E+0001             -2.64810E+0001             -2.70400E+0001
 6.40000E+0000                -2.57450E+0001             -2.72250E+0001             -2.91830E+0001
 6.60000E+0000                -2.64040E+0001             -2.80250E+0001             -2.94100E+0001
 6.80000E+0000                -2.53530E+0001             -2.75480E+0001             -3.07040E+0001
 7.00000E+0000                -2.50200E+0001             -2.68230E+0001             -2.91090E+0001
 7.20000E+0000                -2.11060E+0001             -2.54770E+0001             -2.81530E+0001
 7.40000E+0000                -1.93850E+0001             -2.41260E+0001             -2.65960E+0001
 7.60000E+0000                -1.69030E+0001             -2.17120E+0001             -2.47030E+0001
 7.80000E+0000                -1.49710E+0001             -1.96300E+0001             -2.29770E+0001
 8.00000E+0000                -1.26890E+0001             -1.77300E+0001             -2.18260E+0001
 8.20000E+0000                -1.12900E+0001             -1.55840E+0001             -1.95040E+0001
 8.40000E+0000                -9.69300E+0000             -1.35260E+0001             -1.71680E+0001
 8.60000E+0000                -8.10400E+0000             -1.22740E+0001             -1.64410E+0001
 8.80000E+0000                -6.17300E+0000             -9.79000E+0000             -1.38910E+0001
 9.00000E+0000                -5.28100E+0000             -8.37300E+0000             -1.27010E+0001
 9.20000E+0000                -3.98300E+0000             -5.96100E+0000             -8.94600E+0000
 9.40000E+0000                -4.00700E+0000             -5.91400E+0000             -8.34000E+0000
 9.60000E+0000                -2.60800E+0000             -4.30200E+0000             -6.60500E+0000
 9.80000E+0000                -2.35900E+0000             -4.41700E+0000             -6.66300E+0000
 1.00000E+0001                -9.70000E-0001             -2.61200E+0000             -5.15400E+0000
