Temperature, thermocouple

Lat. Pos.       H=3                        H=5                         H=7                           H=9                        H=11
 0.8            3.92850E+0002      4.49050E+0002      5.31500E+0002      6.24400E+0002      7.01700E+0002
 1.0            4.02000E+0002      4.77200E+0002      5.71250E+0002      6.62700E+0002      7.45950E+0002
 1.2            4.19750E+0002      5.35150E+0002      6.09100E+0002      7.04200E+0002      7.72450E+0002
 1.4            4.38000E+0002      5.63100E+0002      6.56800E+0002      7.44100E+0002      8.17700E+0002
 1.6            4.66350E+0002      5.95550E+0002      7.03300E+0002      7.83650E+0002      8.43350E+0002
 1.8            5.13050E+0002      6.60650E+0002      7.68150E+0002      8.33200E+0002      8.74300E+0002
 2.0            5.50150E+0002      7.17300E+0002      8.22200E+0002      8.77450E+0002      9.45200E+0002
 2.2            6.13250E+0002      7.60550E+0002      8.72500E+0002      9.49100E+0002      1.00400E+0003
 2.4            6.80300E+0002      8.28150E+0002      9.36700E+0002      1.00485E+0003      1.04845E+0003
 2.6            7.50100E+0002      9.03200E+0002      9.84800E+0002      1.05555E+0003      1.09340E+0003
 2.8            8.22550E+0002      9.52000E+0002      1.04265E+0003      1.11100E+0003      1.15600E+0003
 3.0            8.60950E+0002      1.03570E+0003      1.11120E+0003      1.16790E+0003      1.19010E+0003
 3.2            9.44550E+0002      1.11375E+0003      1.16535E+0003      1.20400E+0003      1.24880E+0003
 3.4            1.04060E+0003      1.17860E+0003      1.22955E+0003      1.26820E+0003      1.27650E+0003
 3.6            1.13785E+0003      1.23240E+0003      1.28860E+0003      1.30415E+0003      1.30220E+0003
 3.8            1.22450E+0003      1.28125E+0003      1.33760E+0003      1.36125E+0003      1.37765E+0003
 4.0            1.28495E+0003      1.38795E+0003      1.42015E+0003      1.41305E+0003      1.40965E+0003
 4.2            1.35605E+0003      1.45190E+0003      1.46230E+0003      1.45620E+0003      1.44835E+0003
 4.4            1.44350E+0003      1.48690E+0003      1.50930E+0003      1.50050E+0003      1.50405E+0003
 4.6            1.53910E+0003      1.53840E+0003      1.55940E+0003      1.54430E+0003      1.52935E+0003
 4.8            1.60620E+0003      1.60580E+0003      1.60930E+0003      1.58695E+0003      1.57140E+0003
 5.0            1.68375E+0003      1.68960E+0003      1.66120E+0003      1.63450E+0003      1.62045E+0003
 5.2            1.75465E+0003      1.75005E+0003      1.70745E+0003      1.68890E+0003      1.66985E+0003
 5.4            1.83490E+0003      1.79195E+0003      1.75985E+0003      1.73445E+0003      1.70340E+0003
 5.6            1.94480E+0003      1.85080E+0003      1.82610E+0003      1.80745E+0003      1.74410E+0003
 5.8            2.01265E+0003      1.96910E+0003      1.89045E+0003      1.85625E+0003      1.79310E+0003
 6.0            1.96980E+0003      2.02650E+0003      2.00015E+0003      1.91630E+0003      1.86600E+0003
 6.2            1.88695E+0003      2.04910E+0003      2.06235E+0003      2.00750E+0003      1.97875E+0003
 6.4            1.77760E+0003      2.02225E+0003      2.05085E+0003      2.05030E+0003      2.03780E+0003
 6.6            1.61030E+0003      1.91115E+0003      2.03155E+0003      2.07960E+0003      2.08825E+0003
 6.8            1.39355E+0003      1.74640E+0003      2.02070E+0003      2.04850E+0003      2.10025E+0003
 7.0            1.21080E+0003      1.65990E+0003      1.91020E+0003      1.96330E+0003      2.04570E+0003
 7.2            1.06420E+0003      1.52765E+0003      1.68300E+0003      1.88680E+0003      1.92370E+0003
 7.4            9.37950E+0002      1.34690E+0003      1.55080E+0003      1.79390E+0003      1.84570E+0003
 7.6            7.85150E+0002      1.26250E+0003      1.43775E+0003      1.65705E+0003      1.67335E+0003
 7.8            6.84100E+0002      1.07615E+0003      1.27510E+0003      1.49775E+0003      1.56810E+0003
 8.0            5.50200E+0002      9.28650E+0002      1.17150E+0003      1.41365E+0003      1.48915E+0003
 8.2            4.60100E+0002      8.13050E+0002      1.06595E+0003      1.26035E+0003      1.34935E+0003
 8.4            4.04100E+0002      6.21000E+0002      9.84050E+0002      1.14595E+0003      1.20240E+0003
 8.6            3.69400E+0002      5.12600E+0002      8.35050E+0002      1.04330E+0003      1.15405E+0003
 8.8            3.49000E+0002      4.89100E+0002      7.49500E+0002      9.31450E+0002      1.02395E+0003
 9.0            3.39900E+0002      4.48100E+0002      6.52000E+0002      8.00700E+0002      9.39000E+0002
 9.2            3.35800E+0002      3.90100E+0002      5.98800E+0002      6.74200E+0002      7.45400E+0002
 9.4            3.31300E+0002      3.62000E+0002      5.33550E+0002      6.15800E+0002      6.67500E+0002
 9.6            3.31000E+0002      3.50700E+0002      4.50800E+0002      5.42600E+0002      5.89600E+0002
 9.8            3.30200E+0002      3.41500E+0002      3.87600E+0002      5.29500E+0002      5.69300E+0002
10.0            3.29000E+0002      3.35600E+0002      3.66300E+0002      4.53700E+0002      4.82400E+0002
