CH3, mass spectrometer, scaled to 2.3e-03 at H = 9 mm from Smooke calc. (Norton et al., 1993)


Lateral Pos.            H=7 mm                 H=9mm                   H=11mm
 -1.00000            -2.18560E-0006       2.45747E-0005        3.67877E-0005
 -0.80000            -8.41741E-0006       2.82704E-0005        4.25225E-0005
 -0.60000            -4.59634E-0006       1.63548E-0005        4.27561E-0005
 -0.40000             1.00444E-0005       9.43056E-0006        4.18428E-0005
 -0.20000             2.95873E-0007       1.99104E-0005        4.01224E-0005
0.00000             1.03481E-0005       1.81857E-0005        4.10357E-0005
0.20000             2.95873E-0007       1.99104E-0005        4.01224E-0005
0.40000             1.00444E-0005       9.43056E-0006        4.18428E-0005
0.60000            -4.59634E-0006       1.63548E-0005        4.27561E-0005
0.80000            -8.41741E-0006       2.82704E-0005        4.25225E-0005
1.00000            -2.18560E-0006       2.45747E-0005        3.67877E-0005
1.20000             6.24668E-0006       1.43943E-0005        4.82148E-0005
1.40000             4.74502E-0006       1.79818E-0005        5.56913E-0005
1.60000            -2.44472E-0006       1.01230E-0005        4.50288E-0005
1.80000            -2.09596E-0006       1.57622E-0005        4.72165E-0005
2.00000             2.41074E-0006       9.51340E-0006        7.66764E-0005
2.20000             9.02488E-0006       2.72297E-0005        6.66724E-0005
2.40000             9.14594E-0006       1.61870E-0005        6.25093E-0005
2.60000             1.80519E-0005       2.19197E-0005        6.17234E-0005
2.80000             2.72509E-0005       3.60655E-0005        7.00070E-0005
3.00000             4.05259E-0005       6.80954E-0005        7.31293E-0005
3.20000             5.82826E-0005       7.84393E-0005        1.33536E-0004
3.40000             1.10894E-0004       6.57378E-0005        1.44793E-0004
3.60000             1.49912E-0004       6.59502E-0005        2.35764E-0004
3.80000             2.43623E-0004       1.54648E-0004        4.25862E-0004
4.00000             4.12056E-0004       2.33428E-0004        4.67492E-0004
4.20000             4.46677E-0004       3.63629E-0004        5.25265E-0004
4.40000             6.75007E-0004       3.61930E-0004        9.91058E-0004
4.60000             8.97390E-0004       7.78658E-0004        8.40254E-0004
4.80000             1.10660E-0003       9.43268E-0004        1.23935E-0003
5.00000             1.54882E-0003       1.22045E-0003        1.54394E-0003
5.20000             2.23870E-0003       1.73531E-0003        1.73616E-0003
5.40000             2.83554E-0003       2.21958E-0003        2.46596E-0003
5.60000             2.63801E-0003       2.30029E-0003        2.76757E-0003
5.80000             2.96723E-0003       1.64143E-0003        2.82067E-0003
6.00000             1.80667E-0003       1.54457E-0003        1.68030E-0003
6.20000             1.39292E-0003       6.17234E-0004        1.81878E-0003
6.40000             3.65116E-0005       1.14420E-0004        5.50328E-0004
6.60000             1.23277E-0004       8.83796E-0005        2.66562E-0004
6.80000            -8.40679E-0006       8.34307E-0006        4.34570E-0005
7.00000            -2.21746E-0005       8.61070E-0006        2.10234E-0005
7.20000            -2.15586E-0005       -3.63629E-0005       -1.53735E-0006
7.40000            -2.03607E-0005       -7.35966E-0006        2.05008E-0006
7.60000             3.88267E-0006       -2.33003E-0006        2.78881E-0006
7.80000            -3.28370E-0006       -1.55010E-0005       -3.33893E-0005
8.00000            -7.13027E-0006       -9.59623E-0006       -1.76865E-0006
8.20000            -7.33205E-0007       -2.72084E-0005        4.64731E-0006
8.40000            -1.32686E-0005       -1.62444E-0005       -1.94516E-0005
8.60000            -1.99592E-0006       -2.19622E-0005       -1.39929E-0005
8.80000            -3.83170E-0006       -2.11529E-0006       -2.42348E-0005
9.00000             2.40862E-0006       -1.51717E-0005       -1.34216E-0005
9.20000             8.46202E-0007       9.43481E-0006       -1.83322E-0005
9.40000             3.08405E-0006       -2.19834E-0006       -1.63229E-0005
9.60000            -6.49732E-0006       7.17487E-0006       -6.01304E-0006
9.80000            -1.08260E-0006       1.30499E-0006        2.97997E-0006
10.00000             3.19662E-0006       4.44341E-0006       6.43147E-0006
