H2O, mass spectrometer


Lateral Position      H=7                           H=9                         H=11
-2.2                        8.265E-0002            8.768E-0002            1.018E-0001
-2.0                        7.668E-0002            8.357E-0002            9.596E-0002
-1.8                        7.191E-0002            7.832E-0002            8.523E-0002
-1.6                        6.716E-0002            6.854E-0002            8.327E-0002
-1.4                        6.222E-0002            6.445E-0002            7.762E-0002
-1.2                        5.767E-0002            5.939E-0002            7.246E-0002
-1.0                        5.230E-0002            5.086E-0002            6.943E-0002
-0.8                        4.685E-0002            4.637E-0002            6.707E-0002
-0.6                        4.079E-0002            4.432E-0002            6.370E-0002
-0.4                        3.731E-0002            3.994E-0002            6.377E-0002
-0.2                        3.634E-0002            3.885E-0002            6.264E-0002
0.0                        3.592E-0002            3.662E-0002            6.231E-0002
0.2                        3.634E-0002            3.885E-0002            6.264E-0002
0.4                        3.731E-0002            3.994E-0002            6.377E-0002
0.6                        4.079E-0002            4.432E-0002            6.370E-0002
0.8                        4.685E-0002            4.637E-0002            6.707E-0002
1.0                        5.230E-0002            5.086E-0002            6.943E-0002
1.2                        5.767E-0002            5.939E-0002            7.246E-0002
1.4                        6.222E-0002            6.445E-0002            7.762E-0002
1.6                        6.716E-0002            6.854E-0002            8.327E-0002
1.8                        7.191E-0002            7.832E-0002            8.523E-0002
2.0                        7.668E-0002            8.357E-0002            9.596E-0002
2.2                        8.265E-0002            8.768E-0002            1.018E-0001
2.4                        8.898E-0002            9.360E-0002            1.071E-0001
2.6                        9.666E-0002            9.831E-0002            1.134E-0001
2.8                        1.020E-0001            1.035E-0001            1.188E-0001
3.0                        1.094E-0001            1.116E-0001            1.228E-0001
3.2                        1.154E-0001            1.164E-0001            1.309E-0001
3.4                        1.224E-0001            1.205E-0001            1.345E-0001
3.6                        1.301E-0001            1.282E-0001            1.410E-0001
3.8                        1.341E-0001            1.320E-0001            1.455E-0001
4.0                        1.414E-0001            1.397E-0001            1.485E-0001
4.2                        1.470E-0001            1.442E-0001            1.529E-0001
4.4                        1.507E-0001            1.474E-0001            1.583E-0001
4.6                        1.541E-0001            1.520E-0001            1.623E-0001
4.8                        1.594E-0001            1.544E-0001            1.663E-0001
5.0                        1.608E-0001            1.585E-0001            1.699E-0001
5.2                        1.624E-0001            1.587E-0001            1.727E-0001
5.4                        1.643E-0001            1.611E-0001            1.736E-0001
5.6                        1.671E-0001            1.620E-0001            1.758E-0001
5.8                        1.705E-0001            1.655E-0001            1.765E-0001
6.0                        1.702E-0001            1.650E-0001            1.775E-0001
6.2                        1.669E-0001            1.657E-0001            1.714E-0001
6.4                        1.628E-0001            1.627E-0001            1.803E-0001
6.6                        1.482E-0001            1.560E-0001            1.781E-0001
6.8                        1.437E-0001            1.530E-0001            1.687E-0001
7.0                        1.353E-0001            1.440E-0001            1.636E-0001
7.2                        1.186E-0001            1.334E-0001            1.527E-0001
7.4                        1.072E-0001            1.217E-0001            1.428E-0001
7.6                        9.393E-0002            1.088E-0001            1.329E-0001
7.8                        8.468E-0002            9.838E-0002            1.233E-0001
8.0                        7.018E-0002            8.730E-0002            1.138E-0001
8.2                        6.123E-0002            7.730E-0002            1.015E-0001
8.4                        5.413E-0002            7.072E-0002            9.296E-0002
8.6                        4.547E-0002            6.101E-0002            8.068E-0002
8.8                        3.901E-0002            5.138E-0002            7.717E-0002
9.0                        3.227E-0002            4.435E-0002            6.971E-0002
9.2                        2.697E-0002            3.806E-0002            5.837E-0002
9.4                        2.150E-0002            3.208E-0002            4.984E-0002
9.6                        2.237E-0002            2.737E-0002            3.288E-0002
9.8                        1.962E-0002            2.100E-0002            2.606E-0002
10.0                        1.780E-0002            1.892E-0002            2.578E-0002
