CH, linear fluorescence, scaled to 0.7 ppm from Smooke calc. (Norton et al., 1993)


Lateral Position              H=7 mm                         H=9 mm                       H=11 mm
-0.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
-0.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
0.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
0.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
0.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
0.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
0.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
1.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
1.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
1.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
1.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
1.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
2.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
2.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
2.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
2.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
2.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
3.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
3.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
3.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
3.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
3.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
4.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
4.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
4.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
4.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
4.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
5.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
5.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
5.40000                        1.59600E-0007            4.66900E-0008            5.50900E-0008
5.60000                        4.77400E-0007            4.41000E-0007            1.96000E-0007
5.80000                        8.40000E-0007            7.00000E-0007            5.33400E-0007
6.00000                        5.62800E-0007            5.85900E-0007            6.05500E-0007
6.20000                        5.99200E-0008            1.29500E-0007            1.26000E-0007
6.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
6.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
6.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
7.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
7.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
7.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
7.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
7.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
8.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
8.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
8.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
8.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
8.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
9.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
9.20000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
9.40000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
9.60000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
9.80000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
10.00000                        0.00000E+0000            0.00000E+0000            0.00000E+0000
